rank,appid,last_week_rank,peak_in_game,current_players
1,730,1,1553991,683482
2,578080,2,749301,128831
3,570,3,569712,274836
4,431960,4,119583,56696
5,359550,14,130055,109734
6,1172470,7,188168,57338
7,2767030,6,107959,107912
8,2622380,5,118690,104333
9,236390,8,77898,36452
10,553850,9,67486,55439
11,3489700,-1,170880,49734
12,2507950,13,155310,41514
13,1172710,35,158624,124235
14,1938090,10,70146,66931
15,1203220,12,107742,16188
16,3241660,11,46437,38757
17,271590,17,98831,42992
18,381210,16,58742,45017
19,413150,18,84634,49056
20,252490,15,134026,74696
21,2669320,19,65571,31339
22,322170,20,44332,21930
23,440,21,54347,45545
24,105600,23,34123,20374
25,1086940,22,70305,61687
26,3240220,25,61544,31864
27,238960,144,134645,72291
28,550,24,35273,29933
29,322330,36,63633,17115
30,230410,26,48881,35977
31,1245620,27,44162,32900
32,227300,30,35884,9424
33,438100,31,45649,36884
34,394360,33,48174,24691
35,1449850,28,23453,13608
36,1174180,29,40649,24244
37,1973530,39,24694,15355
38,3419430,32,182115,147137
39,1222670,43,36003,27414
40,2357570,37,26032,22620
41,1281930,42,39510,21913
42,2878980,44,41086,17558
43,252950,45,27670,19370
44,1091500,40,32095,22644
45,346110,38,55976,24250
46,1366800,46,57217,39301
47,250900,47,22010,14116
48,2379780,48,18698,17412
49,284160,50,22811,13600
50,1551360,59,24407,10017
51,291550,56,15669,12344
52,251570,75,41010,33240
53,3513350,78,23387,12885
54,4000,55,28807,15868
55,2252570,53,69429,28964
56,1903340,41,33449,21210
57,1364780,52,33787,11680
58,2073850,73,22886,18327
59,221100,57,57150,29869
60,108600,60,28293,22210
61,244210,65,15783,7797
62,1671210,34,24572,22623
63,489830,58,26447,20842
64,739630,61,17618,13721
65,289070,63,35013,21471
66,1665460,67,16875,9782
67,646570,62,19140,10984
68,3164500,54,23425,21626
69,2139460,64,36360,19632
70,714010,71,7637,3547
71,1085660,68,24082,23783
72,629520,72,23038,12106
73,294100,86,30629,23899
74,292030,66,23592,9330
75,1905180,77,23826,10180
76,526870,99,32416,21046
77,261550,92,29736,14269
78,2358720,79,26346,7465
79,2642680,74,7106,4812
80,960090,91,10931,9435
81,1142710,76,24377,14411
82,813780,80,20008,14119
83,2918300,49,14661,13050
84,2246340,69,17066,7091
85,582010,90,25763,9129
86,2300320,81,29933,10819
87,1623730,88,26176,14582
88,1329410,84,12895,3193
89,2141910,119,12566,11932
90,1158310,93,19807,12528
91,892970,89,22111,14051
92,239140,104,14798,7660
93,393380,100,14666,7109
94,457140,-1,20594,10269
95,2399830,108,21483,17177
96,427520,96,23860,15406
97,2584990,-1,4122,4861
98,548430,136,13040,6428
99,2993780,85,22732,11123
100,281990,98,17685,12466
